id,name,island,kind,positioned,status,image
beach:cowpet-bay,Cowpet Bay,stt,beach,true,placeholder,/images/directory/beaches/cowpet-bay.svg
beach:denis-bay,Denis Bay,stj,beach,true,placeholder,/images/directory/beaches/denis-bay.svg
beach:dorothea-beach,Dorothea Beach,stt,beach,true,placeholder,/images/directory/beaches/dorothea-beach.svg
beach:dorsch-beach,Dorsch Beach,stx,beach,true,placeholder,/images/directory/beaches/dorsch-beach.svg
beach:francis-bay,Francis Bay,stj,beach,true,placeholder,/images/directory/beaches/francis-bay.svg
beach:gibney-beach,Gibney Beach,stj,beach,true,placeholder,/images/directory/beaches/gibney-beach.svg
beach:grapetree-bay,Grapetree Bay,stx,beach,true,placeholder,/images/directory/beaches/grapetree-bay.svg
beach:hansen-bay,Hansen Bay,stj,beach,true,placeholder,/images/directory/beaches/hansen-bay.svg
beach:haulover-bay,Haulover Bay,stj,beach,true,placeholder,/images/directory/beaches/haulover-bay.svg
beach:hawksnest-bay,Hawksnest Bay,stj,beach,true,placeholder,/images/directory/beaches/hawksnest-bay.svg
beach:honeymoon-beach,Honeymoon Beach,stj,beach,false,placeholder,/images/directory/beaches/honeymoon-beach.svg
beach:honeymoon-water-island,Honeymoon Water Island,stt,beach,false,placeholder,/images/directory/beaches/honeymoon-water-island.svg
beach:isaac-bay,Isaac Bay,stx,beach,false,placeholder,/images/directory/beaches/isaac-bay.svg
beach:jack-bay,Jack Bay,stx,beach,true,placeholder,/images/directory/beaches/jack-bay.svg
beach:jumbie-bay,Jumbie Bay,stj,beach,true,placeholder,/images/directory/beaches/jumbie-bay.svg
beach:lameshur-bay,Lameshur Bay,stj,beach,false,placeholder,/images/directory/beaches/lameshur-bay.svg
beach:lindquist-beach,Lindquist Beach,stt,beach,true,placeholder,/images/directory/beaches/lindquist-beach.svg
beach:magens-bay,Magens Bay,stt,beach,true,placeholder,/images/directory/beaches/magens-bay.svg
beach:maho-bay,Maho Bay,stj,beach,true,placeholder,/images/directory/beaches/maho-bay.svg
beach:mermaids-chair,Mermaids Chair,stt,beach,false,placeholder,/images/directory/beaches/mermaids-chair.svg
beach:michelles-beach,Michelles Beach,stx,beach,false,placeholder,/images/directory/beaches/michelles-beach.svg
beach:morningstar-beach,Morningstar Beach,stt,beach,true,placeholder,/images/directory/beaches/morningstar-beach.svg
beach:nazareth-bay,Nazareth Bay,stt,beach,false,placeholder,/images/directory/beaches/nazareth-bay.svg
beach:pelican-cove,Pelican Cove,stx,beach,false,placeholder,/images/directory/beaches/pelican-cove.svg
beach:rainbow-beach,Rainbow Beach,stx,beach,true,placeholder,/images/directory/beaches/rainbow-beach.svg
beach:reef-bay,Reef Bay,stj,beach,true,placeholder,/images/directory/beaches/reef-bay.svg
beach:salomon-beach,Salomon Beach,stj,beach,true,placeholder,/images/directory/beaches/salomon-beach.svg
beach:salt-pond-bay,Salt Pond Bay,stj,beach,false,placeholder,/images/directory/beaches/salt-pond-bay.svg
beach:sandy-point,Sandy Point,stx,beach,true,placeholder,/images/directory/beaches/sandy-point.svg
beach:santa-maria-beach,Santa Maria Beach,stt,beach,false,placeholder,/images/directory/beaches/santa-maria-beach.svg
beach:shoys-beach,Shoys Beach,stx,beach,true,placeholder,/images/directory/beaches/shoys-beach.svg
beach:teague-bay,Teague Bay,stx,beach,false,placeholder,/images/directory/beaches/teague-bay.svg
beach:trunk-bay,Trunk Bay,stj,beach,true,placeholder,/images/directory/beaches/trunk-bay.svg
beach:turtle-beach-buck-island,Turtle Beach Buck Island,stx,beach,false,placeholder,/images/directory/beaches/turtle-beach-buck-island.svg
beach:vessup-bay,Vessup Bay,stt,beach,true,placeholder,/images/directory/beaches/vessup-bay.svg
beach:water-bay,Water Bay,stt,beach,true,placeholder,/images/directory/beaches/water-bay.svg
beach:waterlemon-bay,Waterlemon Bay,stj,beach,true,placeholder,/images/directory/beaches/waterlemon-bay.svg
historic:annaberg-historic-district,Annaberg Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:barracks-no-2,Barracks No. 2,stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:benjamin-franklin-school,Benjamin Franklin School,stj,historic,false,placeholder,/images/historic/placeholder.svg
historic:synagogue-beracha-veshalom,Beracha Veshalom Synagogue,stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:bethlehem-middle-works-historic-district,Bethlehem Middle Works Historic District,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:bethlehem-sugar-factory,Bethlehem Sugar Factory,stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:blackbeards-castle-skytsborg,Blackbeard's Castle (Skytsborg),stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:bluebeards-castle-tower,Bluebeard's Castle Tower,stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:bordeaux,Bordeaux,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:brown-bay-plantation-historic-district,Brown Bay Plantation Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:catherineberg-jockumsdahl-herman-farm,Catherineberg-Jockumsdahl-Herman Farm,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:charlotte-amalie-historic-district,Charlotte Amalie Historic District,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:charlotte-amalie-historic-district-boundary-increase,Charlotte Amalie Historic District (Boundary Increase),stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:christiansted-historic-district,Christiansted Historic District,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:christiansted-nhs-custom-house,Christiansted NHS Custom House,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:christiansted-nhs-fort-christiansvaern,Christiansted NHS Fort Christiansvaern,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:christiansted-nhs-scale-house,Christiansted NHS Scale House,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:christiansted-nhs-steeple-building,Christiansted NHS Steeple Building,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:cinnamon-bay-plantation,Cinnamon Bay Plantation,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:cinnamon-bay-sugar-works,Cinnamon Bay Sugar Works,stj,historic,false,placeholder,/images/historic/placeholder.svg
historic:coakley-bay-estate,Coakley Bay Estate,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:cruz-bay-battery,Cruz Bay Battery,stj,historic,false,placeholder,/images/historic/placeholder.svg
historic:cruz-bay-town-historic-district,Cruz Bay Town Historic District,stj,historic,false,placeholder,/images/historic/placeholder.svg
historic:danish-west-india-and-guinea-company-warehouse,Danish West India and Guinea Company Warehouse,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:dennis-bay-historic-district,Dennis Bay Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:diamond-school,Diamond School,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:east-end-schoolhouse-st-john-us-virgin-islands,East End Schoolhouse: St. John US Virgin Islands,stj,historic,false,placeholder,/images/historic/placeholder.svg
historic:emancipation-garden,Emancipation Garden,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:emmaus-moravian-church,Emmaus Moravian Church,stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:emmaus-moravian-church-and-manse,Emmaus Moravian Church and Manse,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:enighed,Enighed,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-beverhoudt,Estate Beverhoudt,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-botany-bay,Estate Botany Bay,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-brewers-bay,Estate Brewers Bay,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-butlers-bay,Estate Butler's Bay,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-carolina-sugar-plantation,Estate Carolina Sugar Plantation,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-grove-place,Estate Grove Place,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-hafensight,Estate Hafensight,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-hogansborg,Estate Hogansborg,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-judiths-fancy,Estate Judith's Fancy,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-la-reine,Estate La Reine,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-little-princess,Estate Little Princess,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-mount-victory,Estate Mount Victory,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-neltjeberg,Estate Neltjeberg,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-niesky,Estate Niesky,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-perseverance,Estate Perseverance,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-prosperity,Estate Prosperity,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-saint-george-historic-district,Estate Saint George Historic District,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-st-john,Estate St. John,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:estate-whim-greathouse,Estate Whim Greathouse,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:evelyn-e-marcelli-elementary-school,Evelyn E. Marcelli Elementary School,stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:fortsberg-corral-bay,Fortsberg Corral Bay,stj,historic,false,placeholder,/images/historic/placeholder.svg
historic:frederick-lutheran-church,Frederick Lutheran Church,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:frederiksted-historic-district,Frederiksted Historic District,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:friedensfeld-midlands-moravian-church-and-manse,Friedensfeld Midlands Moravian Church and Manse,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:friedensthal-mission,Friedensthal Mission,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:ft-frederik-of-us-virgin-islands,Ft. Frederik of US Virgin Islands,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:government-house-stt,"Government House, St. Thomas",stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:green-kay,Green Kay,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:hamburg-america-shipping-line-administrative-offices,Hamburg-America Shipping Line Administrative Offices,stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:hams-bluff-light,Hams Bluff Light,stx,historic,true,placeholder,/images/historic/placeholder.svg
historic:hassel-island-additional-documentation,Hassel Island (Additional Documentation),stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:hassel-island-creque-marine-railway,Hassel Island Creque Marine Railway,stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:hassel-island-fort-willoughby,Hassel Island Fort Willoughby,stt,historic,false,placeholder,/images/historic/placeholder.svg
historic:hassel-island-historic-district-boundary-increase,Hassel Island Historic District (Boundary Increase),stt,historic,true,placeholder,/images/historic/placeholder.svg
historic:hermitage-plantation-historic-district,Hermitage Plantation Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:holy-cross-episcopal-church,Holy Cross Episcopal Church,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:jossie-gut-historic-district,Jossie Gut Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:kingshill-lutheran-church,Kingshill Lutheran Church,stx,historic,false,placeholder,/images/historic/placeholder.svg
historic:lesperance-historic-district,L'Esperance Historic District,stj,historic,true,placeholder,/images/historic/placeholder.svg
historic:la-grande-princesse-school,La Grande Princesse School,stx,historic,true,placeholder,/images/historic/placeholder.svg
