id,name,island,kind,candidateScore,candidateTitle,previewUrl,sourceUrl,creator,license,licenseUrl,decision
beach:francis-bay,Francis Bay,stj,beach,,,,,,,,
beach:gibney-beach,Gibney Beach,stj,beach,,,,,,,,
beach:grapetree-bay,Grapetree Bay,stx,beach,,,,,,,,
beach:hansen-bay,Hansen Bay,stj,beach,,,,,,,,
beach:haulover-bay,Haulover Bay,stj,beach,,,,,,,,
beach:hawksnest-bay,Hawksnest Bay,stj,beach,,,,,,,,
beach:honeymoon-beach,Honeymoon Beach,stj,beach,,,,,,,,
beach:honeymoon-water-island,Honeymoon Water Island,stt,beach,,,,,,,,
beach:isaac-bay,Isaac Bay,stx,beach,,,,,,,,
beach:jack-bay,Jack Bay,stx,beach,,,,,,,,
beach:jumbie-bay,Jumbie Bay,stj,beach,,,,,,,,
beach:lameshur-bay,Lameshur Bay,stj,beach,,,,,,,,
beach:lindquist-beach,Lindquist Beach,stt,beach,,,,,,,,
beach:magens-bay,Magens Bay,stt,beach,,,,,,,,
beach:maho-bay,Maho Bay,stj,beach,,,,,,,,
beach:mermaids-chair,Mermaids Chair,stt,beach,,,,,,,,
beach:michelles-beach,Michelles Beach,stx,beach,,,,,,,,
beach:morningstar-beach,Morningstar Beach,stt,beach,,,,,,,,
beach:nazareth-bay,Nazareth Bay,stt,beach,,,,,,,,
beach:pelican-cove,Pelican Cove,stx,beach,,,,,,,,
beach:rainbow-beach,Rainbow Beach,stx,beach,,,,,,,,
beach:reef-bay,Reef Bay,stj,beach,,,,,,,,
beach:salomon-beach,Salomon Beach,stj,beach,,,,,,,,
beach:salt-pond-bay,Salt Pond Bay,stj,beach,,,,,,,,
beach:sandy-point,Sandy Point,stx,beach,,,,,,,,
beach:santa-maria-beach,Santa Maria Beach,stt,beach,,,,,,,,
beach:shoys-beach,Shoys Beach,stx,beach,,,,,,,,
beach:teague-bay,Teague Bay,stx,beach,,,,,,,,
beach:trunk-bay,Trunk Bay,stj,beach,,,,,,,,
beach:turtle-beach-buck-island,Turtle Beach Buck Island,stx,beach,,,,,,,,
beach:vessup-bay,Vessup Bay,stt,beach,,,,,,,,
beach:water-bay,Water Bay,stt,beach,,,,,,,,
beach:waterlemon-bay,Waterlemon Bay,stj,beach,,,,,,,,
historic:annaberg-historic-district,Annaberg Historic District,stj,historic,,,,,,,,
historic:barracks-no-2,Barracks No. 2,stt,historic,,,,,,,,
historic:benjamin-franklin-school,Benjamin Franklin School,stj,historic,,,,,,,,
historic:synagogue-beracha-veshalom,Beracha Veshalom Synagogue,stt,historic,,,,,,,,
historic:bethlehem-middle-works-historic-district,Bethlehem Middle Works Historic District,stx,historic,,,,,,,,
historic:bethlehem-sugar-factory,Bethlehem Sugar Factory,stt,historic,,,,,,,,
historic:blackbeards-castle-skytsborg,Blackbeard's Castle (Skytsborg),stt,historic,,,,,,,,
