index,id,name,type,island,confidence,bucket,officialAuditSampled,candidateName,candidateSource,candidateLat,candidateLng,reason
2279,st_thomas-bay-santa-xaria-point,Santa Xaria Point,bay,st_thomas,review,review_candidate,false,Santa Maria Bay,geographic_index,18.359333337383298,-64.98905345449211,similarity_or_token_overlap
2282,st_thomas-bay-sara-hill,Sara Hill,bay,st_thomas,none,research_clean_name_no_candidate,false,Bordeaux Hill,geographic_index,18.356590458506503,-65.01661868979055,weak_similarity
2283,st_croix-estate-sarton-hill,Sarton Hill,estate,st_croix,none,research_clean_name_no_candidate,false,Altona Hill,geographic_index,17.74747,-64.69236,weak_similarity
2286,st_thomas-point-savana-eill,Savana Eill,point,st_thomas,review,ocr_or_name_cleanup_first,false,Savana Island,geographic_index,18.3409417799056,-65.07956596206054,contains_clean_slug
2290,st_croix-estate-savanna,Savanna,estate,st_croix,none,research_clean_name_no_candidate,false,ALTONA,geographic_index,17.747965284366,-64.69015943989746,weak_similarity
2291,st_croix-estate-sboy-point,Sboy Point,estate,st_croix,none,research_clean_name_no_candidate,false,SHOYS,geographic_index,17.756881054978102,-64.68080993897975,weak_similarity
2292,st_thomas-estate-schimmelmann,Schimmelmann,estate,st_thomas,none,research_clean_name_no_candidate,false,HOFFMAN,geographic_index,18.33237718839525,-64.8970447926404,weak_similarity
2293,st_thomas-historic-school-of-fish,School-of-Fish,historic,st_thomas,none,research_clean_name_no_candidate,false,NISKY,geographic_index,18.33151089875325,-64.9576625505323,weak_similarity
2294,st_thomas-historic-schooner-channel,Schooner Channel,historic,st_thomas,none,research_clean_name_no_candidate,false,Benner Hill,geographic_index,18.330419,-64.859625,weak_similarity
2295,st_thomas-point-schorbomanok,Schorbomanok,point,st_thomas,none,research_clean_name_no_candidate,false,HOFFMAN,geographic_index,18.33237718839525,-64.8970447926404,weak_similarity
2296,st_thomas-point-sdadboarcf-shoal,Sdadboarcf Shoal,point,st_thomas,none,research_clean_name_no_candidate,false,Hull Bay,geographic_index,18.3709,-64.9547,weak_similarity
2297,st_thomas-point-se,SE,point,st_thomas,none,generic_fragment_do_not_coordinate,false,Bellevue Hill,geographic_index,18.3265528432309,-64.9212594012035,
2299,st_john-estate-seeven-ridge,Seeven Ridge,estate,st_john,none,research_clean_name_no_candidate,false,STEVEN CAY,geographic_index,18.33000650755955,-64.80740381518945,weak_similarity
2300,st_thomas-estate-seeven-trail,Seeven Trail,estate,st_thomas,none,research_clean_name_no_candidate,false,FRYDENDAL,geographic_index,18.3484265706152,-64.87336686139005,weak_similarity
2303,st_thomas-estate-sempill,Sempill,estate,st_thomas,none,research_clean_name_no_candidate,false,SMITH BAY,geographic_index,18.335278251441,-64.86171891676014,weak_similarity
2304,st_thomas-estate-sessman,Sessman,estate,st_thomas,none,research_clean_name_no_candidate,false,HOFFMAN,geographic_index,18.33237718839525,-64.8970447926404,weak_similarity
2307,st_croix-estate-sevenhills,Sevenhills,estate,st_croix,review,review_candidate,false,SEVEN HILLS,geographic_index,17.7462147534703,-64.6477516565729,similarity_or_token_overlap
2308,st_croix-estate-sflbodker,Sflbodker,estate,st_croix,none,research_clean_name_no_candidate,false,BODKIN,geographic_index,17.75023931514295,-64.8357929761099,weak_similarity
2309,st_thomas-point-shark-islet-or-cay,Shark Islet or Cay,point,st_thomas,none,research_clean_name_no_candidate,false,SALT CAY,geographic_index,18.361460176887647,-65.05306615329525,weak_similarity
